clinic_id,name,city,state,status_code,photo_url
"1556_1","Penn Medicine at Cherry Hill","Cherry Hill","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1Xe9YwtMrbchDTKFiCAyfk1IJxL0ahlmaKYUY9w1a67wLcK-bnefP64aex_xfWYH3SUKcubyIvpvJ_wMOlMPJA30ANmN0fEPohdmkevqGUB3IAXR_qz6n9cLfAyT-eGhD8DDlkQ=w800-h600-k-no"
"1582_1","Sleep Center of Bucks County","Newtown","PA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHKi8RSbhjazHTBm_taRydbuCYCDRFSWgwVz7M77hynV0rYXXS0ap3z3sPf3jzflykuRkqFHnQ1j-tEKD1BTIyqiIPQI8iU9yqgtAcTVtHuabhRmOUhqa5e1h7kyNjNBpOatZO=w800-h600-k-no-p-k-no"
"1567_1","Holy Redeemer Hospital Sleep Disorder Center","Meadowbrook","PA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkGatjYusc-V55OxinV7N-266Xq-Mtsk7DWJNZ10Y48xj9_OM_MNX4CZnJfIT09rTRrOO7e7huX6kQoGEOUrQddzTs-8dN4MWMnCUTgqGCgklTgDtkOZA2aDJQE3jn-0kIYoK8vw=w800-h600-k-no"
"1579_1","UBMD Pediatrics Sleep Center Amherst Clinic","Amherst","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw14fwo3khBQ2QJAccVlnA1TjkglQZ7vZfuKuoqewdPho3PJ00KmY7b-K4btR-ABrc8PA6zlXkfDEvV3i3mPfJCIQgPUC1AI4errrDru1wEELcqezafZB05p3tHxsl1Sn8yzfQ=w800-h600-k-no-p-k-no"
"1599_1","The Center for Sleep Medicine @ Capital Health","Hamilton","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHDCxuYFI90yKM9ORscDNH27yVOpp4hmXExsHm-8VD42snHbnAcTJ3WKpvEXErD6uhbusJwUrGuXryYvXO-jzp0XOJT95JLHo26nNQ_Sg9uPn5JSzypmMPnJp-vfEUVcu0L9nuUw=w800-h600-k-no-p-k-no"
"1591_1","The Sleep Disorders Center at the Health Center at Bethlehem Township","Bethlehem","PA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3KA4ycsgtx5FdtR4-wDNB_Zv9zsy_sEcRwV1zPhFUrZ4veuRJ4c_mv6wFNO3JXmeMPKAGDASPFGOPCE4HFK-CIk6fTcsh3mJEC3ukE3CSRFbd-iuZRUoYdNFN9PEqORvF83Pd=w800-h600-k-no-p-k-no"
"1601_1","Marshfield Medical Center-Marshfield Sleep Medicine Program","Marshfield","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyMXFvqK4zGa-JPuYJKeP7uI1ls9Dntj7H5EFmDSTjjYYRjwUsY53lTRWQV9RavSQgr2useDQUAkbi4B-QHbCjMhpziTNwPUTdJnVfoO00Vu7wKW_kD36fj6B2XMW5_G-KDiTw4lJzd858=w800-h600-k-no-p-k-no"
"1586_1","Olmsted Medical Center","Rochester","MN","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyK7vSbIFrZsqw9jjewosabXoGireSkLtgaL7oD-mPavA34nmmw1p4LuU92UKc18DIzty56euAuw_JpPOoQ2S2c1V83v7kJoXXvdNf-cnOrFNhOVaySTqwdfcdtqpcD2lUf2HU=w800-h600-k-no"
"1585_3","Capital Health Specialty Practices - Newtown","Newtown","PA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzvm1NxxQhXESR58t6ATi1AC48eOoC27SOF58yHC_QaQs9eXJrAkhWihMymuQoyO4C1cP60YIoHLfyAY2VppA651S0KM5XYLEumSJTdScRz73Hy4O2JF-Ove3IXfw8a_9dBsVQz9g=w800-h600-k-no-p-k-no"
"1596_1","Guthrie Sleep Disorders Center","Painted Post","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyUtcju0z2nbOOxym7MTXVnYDZ9sUfwuKX4uUzRDgTjSJVXO7V4PCqm7ZqYm8D_fQTBdNIu3HXlJkyZvTYzreRMLVGLSTzzVNf5HJ5YaRWevJCTqTNC3jVhfryBtxZk8TiEcu7iK8avu8KR=w800-h600-k-no-p-k-no"
